ID_PARTICIPANTE,TASK_NUMBER,TIME_OF_EVENT,TASK_CLICK_NUMBER,EVENT
7,1,738588.15:58:24.3743569,12,Open: 270
7,1,738588.15:58:30.3808271,13,PersonalInfo/GeneralStationInfo/Buttons/CycleTimesButton
7,1,738588.15:58:34.8860476,14,PersonalInfo/CycleTimesMain/TitleBar/Buttons/BackButton
7,1,738588.15:58:38.0761412,15,PersonalInfo/GeneralStationInfo/TitleBar/Buttons/CloseButtoon
7,2,738588.15:58:55.7140227,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton
7,2,738588.15:59:06.8607543,2,Open: 260
7,2,738588.15:59:07.0394203,3,PersonalInfo/GeneralStationInfo/Buttons/KPIsButton
7,2,738588.15:59:27.6949185,4,PersonalInfo/KPIsMain/TitleBar/Buttons/CloseButton
7,3,738588.15:59:33.0998024,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton
7,3,738588.15:59:52.2975770,2,Open: 270
7,4,738588.15:59:56.6375772,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton
7,4,738588.16:00:10.1643963,2,Open: 290
7,4,738588.16:00:42.8951339,3,PersonalInfo/GeneralStationInfo/TitleBar/Buttons/CloseButtoon
7,4,738588.16:00:45.3145041,4,Open: 290
7,4,738588.16:00:45.4996595,5,PersonalInfo/GeneralStationInfo/Buttons/KPIsButton
7,4,738588.16:00:57.1246354,6,PersonalInfo/KPIsMain/Buttons/OEEButton
7,4,738588.16:01:03.5943142,7,PersonalInfo/KPIsSpecific/ShiftNumberSlider
7,4,738588.16:01:17.0071842,8,PersonalInfo/KPIsSpecific/ShiftNumberSlider
7,4,738588.16:02:40.8955529,9,PersonalInfo/KPIsSpecific/TitleBar/Buttons/CloseButton
7,5,738588.16:02:43.7557311,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton
7,5,738588.16:02:56.1469083,2,Open: 260
7,5,738588.16:02:57.7790808,3,PersonalInfo/GeneralStationInfo/Buttons/KPIsButton
7,5,738588.16:02:59.6562728,4,PersonalInfo/KPIsMain/Buttons/PartCountButton
7,5,738588.16:03:26.6399208,5,PersonalInfo/KPIsSpecific/ShiftNumberSlider
7,5,738588.16:03:54.1830172,6,PersonalInfo/KPIsSpecific/TitleBar/Buttons/CloseButton
7,6,738588.16:03:58.3991461,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton
8,2,738588.16:12:15.4508168,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton
8,2,738588.16:12:42.0186161,2,Open: 260
