event,station,element,id,task,timestamp,lx,ly,vis_id,attr,value,vis-id,environment
finish_task,-1,icon,8,5,1678464172410,1082.0,208.0,,,,,tablet
start_evaluation,-1,page,11,1,1678478125955,,,,,,,tablet
finish_task,-1,icon,11,1,1678478129554,1084.0,161.0,,,,,tablet
select_station,260,map,11,2,1678478132185,232.0,300.0,,,,,tablet
show_filters,260,icon,11,2,1678478133011,85.0,401.0,,,,,tablet
show_kpi,260,icon,11,2,1678478134388,81.0,461.0,,,,,tablet
finish_task,-1,icon,11,2,1678478137497,1074.0,178.0,,,,,tablet
select_station,270,map,11,3,1678478146038,643.0,157.0,,,,,tablet
finish_task,-1,icon,11,3,1678478146937,1082.0,174.0,,,,,tablet
select_station,290,map,11,4,1678478152148,555.0,67.0,,,,,tablet
show_kpi,290,icon,11,4,1678478152995,80.0,467.0,,,,,tablet
select_attr,290,vis,11,4,1678478154368,238.0,123.0,1.0,oee,,,tablet
set_slider,290,vis,11,4,1678478158991,,,3.0,oee,14,,tablet
finish_task,-1,icon,11,4,1678478163451,1093.0,176.0,,,,,tablet
select_station,260,map,11,5,1678478167001,223.0,299.0,,,,,tablet
show_kpi,260,icon,11,5,1678478168703,86.0,480.0,,,,,tablet
select_attr,260,vis,11,5,1678478170118,513.0,142.0,1.0,partCount,,,tablet
set_slider,260,vis,11,5,1678478175542,,,3.0,partCount,13,,tablet
finish_task,-1,icon,11,5,1678478178531,1082.0,195.0,,,,,tablet
